TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-25,2026-06-25,FO,NSE,STO,113250,,LAURUSLABS,,2026-06-30,2026-06-30,1500.00,PE,LAURUSLABS26JUN1500PE,48.90,56.05,46.50,52.00,52.00,50.20,1450.00,52.00,67150,-3400,19,25055535.00,16,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,137502,,LAURUSLABS,,2026-06-30,2026-06-30,1440.00,PE,LAURUSLABS26JUN1440PE,5.80,12.50,5.00,5.80,5.55,9.45,1450.00,5.80,306000,20400,1224,1506303742.50,989,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,116384,,LAURUSLABS,,2026-07-28,2026-07-28,1270.00,PE,LAURUSLABS26JUL1270PE,6.05,6.05,6.05,6.05,6.05,39.10,1450.00,8.90,850,850,1,1084642.50,1,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,41081,,LAURUSLABS,,2026-06-30,2026-06-30,1620.00,PE,LAURUSLABS26JUN1620PE,0.00,0.00,0.00,440.50,0.00,440.50,1450.00,168.80,0,0,0,0.00,0,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,49427,,LAURUSLABS,,2026-06-30,2026-06-30,1570.00,PE,LAURUSLABS26JUN1570PE,0.00,0.00,0.00,298.15,0.00,298.15,1450.00,119.80,0,0,0,0.00,0,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,137485,,LAURUSLABS,,2026-06-30,2026-06-30,1220.00,CE,LAURUSLABS26JUN1220CE,0.00,0.00,0.00,206.00,206.00,206.00,1450.00,231.05,17850,0,0,0.00,0,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,113233,,LAURUSLABS,,2026-06-30,2026-06-30,1270.00,CE,LAURUSLABS26JUN1270CE,0.00,0.00,0.00,210.00,210.00,210.00,1450.00,181.15,7650,0,0,0.00,0,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,37067,,LAURUSLABS,,2026-06-30,2026-06-30,1340.00,CE,LAURUSLABS26JUN1340CE,104.75,116.00,104.75,116.00,116.00,128.25,1450.00,112.15,27200,-850,2,2465637.50,2,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,116578,,LAURUSLABS,,2026-07-28,2026-07-28,1410.00,CE,LAURUSLABS26JUL1410CE,0.00,0.00,0.00,68.00,68.00,68.00,1450.00,92.85,9350,0,0,0.00,0,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,137479,,LAURUSLABS,,2026-06-30,2026-06-30,1160.00,CE,LAURUSLABS26JUN1160CE,0.00,0.00,0.00,265.00,265.00,265.00,1450.00,291.00,25500,0,0,0.00,0,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,113197,,LAURUSLABS,,2026-06-30,2026-06-30,1130.00,CE,LAURUSLABS26JUN1130CE,0.00,0.00,0.00,269.55,269.55,269.55,1450.00,321.00,5950,0,0,0.00,0,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STF,58279,,LAURUSLABS,,2026-08-25,2026-08-25,,,LAURUSLABS26AUGFUT,1470.00,1472.50,1458.00,1469.40,1469.40,1469.80,1450.00,1469.40,228650,11900,66,82277280.00,61,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,137472,,LAURUSLABS,,2026-06-30,2026-06-30,1080.00,PE,LAURUSLABS26JUN1080PE,0.00,0.00,0.00,0.20,0.20,0.20,1450.00,0.00,3400,0,0,0.00,0,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,113231,,LAURUSLABS,,2026-06-30,2026-06-30,1250.00,PE,LAURUSLABS26JUN1250PE,0.35,0.35,0.15,0.15,0.15,0.50,1450.00,0.15,80750,0,5,5313307.50,3,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,137500,,LAURUSLABS,,2026-06-30,2026-06-30,1400.00,PE,LAURUSLABS26JUN1400PE,1.85,2.50,0.80,0.90,1.00,2.15,1450.00,0.90,562700,-55250,902,1074513857.50,686,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,49421,,LAURUSLABS,,2026-06-30,2026-06-30,1550.00,PE,LAURUSLABS26JUN1550PE,0.00,0.00,0.00,88.65,88.65,88.65,1450.00,100.85,4250,0,0,0.00,0,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,113259,,LAURUSLABS,,2026-06-30,2026-06-30,1540.00,PE,LAURUSLABS26JUN1540PE,0.00,0.00,0.00,160.25,160.25,160.25,1450.00,91.65,3400,0,0,0.00,0,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,116816,,LAURUSLABS,,2026-08-25,2026-08-25,1540.00,PE,LAURUSLABS26AUG1540PE,0.00,0.00,0.00,198.20,0.00,198.20,1450.00,134.25,0,0,0,0.00,0,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,116810,,LAURUSLABS,,2026-08-25,2026-08-25,1480.00,PE,LAURUSLABS26AUG1480PE,0.00,0.00,0.00,157.25,0.00,157.25,1450.00,98.40,0,0,0,0.00,0,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,49437,,LAURUSLABS,,2026-07-28,2026-07-28,1540.00,PE,LAURUSLABS26JUL1540PE,0.00,0.00,0.00,275.50,0.00,275.50,1450.00,116.60,0,0,0,0.00,0,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,116538,,LAURUSLABS,,2026-07-28,2026-07-28,1370.00,PE,LAURUSLABS26JUL1370PE,23.60,23.60,21.35,21.35,21.35,21.35,1450.00,30.10,6800,5100,9,10651690.00,8,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,113330,,LAURUSLABS,,2026-07-28,2026-07-28,1200.00,PE,LAURUSLABS26JUL1200PE,2.15,3.00,2.15,2.40,2.40,2.75,1450.00,2.90,56950,13600,959,980235002.50,672,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,113334,,LAURUSLABS,,2026-07-28,2026-07-28,1240.00,PE,LAURUSLABS26JUL1240PE,4.00,4.20,3.50,3.65,3.50,4.30,1450.00,3.65,33150,-18700,161,170229202.50,133,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,113234,,LAURUSLABS,,2026-06-30,2026-06-30,1270.00,PE,LAURUSLABS26JUN1270PE,0.30,0.50,0.25,0.25,0.25,0.45,1450.00,0.05,20400,-1700,8,8638550.00,8,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,36183,,LAURUSLABS,,2026-06-30,2026-06-30,1410.00,CE,LAURUSLABS26JUN1410CE,53.05,53.05,34.95,40.00,40.00,47.35,1450.00,40.00,92650,-8500,47,57926437.50,47,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,113226,,LAURUSLABS,,2026-06-30,2026-06-30,1230.00,CE,LAURUSLABS26JUN1230CE,0.00,0.00,0.00,250.00,250.00,250.00,1450.00,221.05,850,0,0,0.00,0,F1,850,,,,,
2026-06-25,2026-06-25,FO,NSE,STO,137501,,LAURUSLABS,,2026-06-30,2026-06-30,1440.00,CE,LAURUSLABS26JUN1440CE,24.00,25.10,13.00,15.45,16.80,23.50,1450.00,15.45,170850,-27200,280,346746195.00,248,F1,850,,,,,
